<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,113070,113070,113040,113050
21/09/18,113050,113080,113030,113080
21/09/18,113080,113080,113050,113050
21/09/18,113070,113080,113000,113070
21/09/18,113070,113090,113050,113070
21/09/18,113070,113070,113040,113070
21/09/18,113070,113070,113060,113060
21/09/18,113080,113080,113070,113070
21/09/18,113070,113080,113070,113080
21/09/18,113070,113070,113030,113070
21/09/18,113080,113090,113070,113080
21/09/18,113070,113080,113060,113070
21/09/18,113060,113060,113030,113050
21/09/18,113040,113070,113040,113060
21/09/18,113060,113060,113060,113060
21/09/18,113060,113070,113050,113050
21/09/18,113040,113050,113020,113020
21/09/18,113030,113030,113020,113030
21/09/18,113040,113070,113040,113060
21/09/18,113060,113070,113060,113070
21/09/18,113070,113100,113070,113100
21/09/18,113090,113100,113060,113070
21/09/18,113070,113080,113060,113080
21/09/18,113070,113070,113040,113040
21/09/18,113040,113060,113040,113050
21/09/18,113050,113080,113040,113070
21/09/18,113080,113090,113070,113080
21/09/18,113090,113090,113050,113060
21/09/18,113060,113080,113050,113050
21/09/18,113070,113070,113060,113060
21/09/18,113070,113080,113060,113060
21/09/18,113070,113070,113050,113060
21/09/18,113070,113100,113070,113080
21/09/18,113100,113120,113100,113100
21/09/18,113090,113120,113090,113120
21/09/18,113110,113120,113090,113090
21/09/18,113090,113100,113060,113090
21/09/18,113090,113100,113070,113080
21/09/18,113090,113090,113050,113070
21/09/18,113060,113070,113060,113070
21/09/18,113080,113080,113080,113080
21/09/18,113080,113080,113070,113070
21/09/18,113070,113090,113070,113090
21/09/18,113090,113100,113080,113090
21/09/18,113090,113090,113080,113080
21/09/18,113090,113100,113060,113060
21/09/18,113050,113070,113050,113060
21/09/18,113050,113070,113050,113050
21/09/18,113050,113070,113050,113060
21/09/18,113050,113060,113050,113060
21/09/18,113070,113070,113070,113070
21/09/18,113060,113080,113060,113080
21/09/18,113080,113080,113060,113070
21/09/18,113080,113080,113080,113080
21/09/18,113080,113080,113040,113040
21/09/18,113040,113050,113010,113010
21/09/18,113020,113030,113000,113000
21/09/18,113000,113000,112970,113000
21/09/18,113000,113020,113000,113020
21/09/18,113020,113030,113000,113000
21/09/18,113000,113010,113000,113000
21/09/18,112990,113040,112990,113030
21/09/18,113030,113050,113030,113050
21/09/18,113040,113050,113030,113050
21/09/18,113030,113030,113010,113020
21/09/18,113040,113040,113020,113040
21/09/18,113040,113040,113020,113040
21/09/18,113020,113020,113010,113010
21/09/18,113010,113010,112980,112990
21/09/18,113010,113010,112990,113010
21/09/18,113010,113010,112990,113000
21/09/18,113000,113030,113000,113030
21/09/18,113040,113050,113000,113000
21/09/18,113010,113010,112980,113000
21/09/18,113010,113020,113010,113020
21/09/18,113010,113010,112980,112980
21/09/18,112980,113000,112980,112990
21/09/18,113000,113000,112980,112980
21/09/18,113000,113000,112980,112990
21/09/18,112990,113000,112990,112990
21/09/18,112980,112980,112980,112980
21/09/18,112980,112990,112980,112990
21/09/18,113000,113010,113000,113010
21/09/18,112990,113000,112980,112980
21/09/18,112980,113030,112980,113010
21/09/18,113010,113030,113000,113010
21/09/18,113020,113020,113010,113020
21/09/18,113020,113030,112980,112990
21/09/18,113000,113000,113000,113000
21/09/18,113010,113020,113010,113020
21/09/18,113030,113030,113000,113030
21/09/18,113040,113090,113040,113080
21/09/18,113080,113100,113070,113100
21/09/18,113100,113100,113080,113080
21/09/18,113090,113090,113090,113090
21/09/18,113080,113090,113070,113080
21/09/18,113080,113090,113080,113090
21/09/18,113090,113140,113090,113130
21/09/18,113130,113140,113110,113130
21/09/18,113130,113130,113120,113120
21/09/18,113120,113130,113120,113120
21/09/18,113110,113120,113100,113100
21/09/18,113090,113110,113090,113090
21/09/18,113100,113100,113090,113090
21/09/18,113080,113080,113070,113070
21/09/18,113070,113080,113060,113060
21/09/18,113060,113070,113060,113070
21/09/18,113060,113070,113030,113060
21/09/18,113070,113080,113060,113080
21/09/18,113080,113080,113070,113070
21/09/18,113060,113070,113050,113070
21/09/18,113070,113080,113070,113080
21/09/18,113060,113090,113050,113090
21/09/18,113090,113110,113080,113110
21/09/18,113110,113110,113100,113110
21/09/18,113120,113130,113090,113120
21/09/18,113110,113110,113090,113110
21/09/18,113100,113100,113090,113090
21/09/18,113090,113130,113090,113120
21/09/18,113120,113120,113110,113110
21/09/18,113100,113130,113090,113130
21/09/18,113140,113190,113140,113190
21/09/18,113180,113220,113170,113180
21/09/18,113180,113200,113130,113140
21/09/18,113140,113160,113130,113150
21/09/18,113170,113190,113150,113150
21/09/18,113160,113160,113120,113130
21/09/18,113130,113170,113130,113160
21/09/18,113160,113180,113150,113180
21/09/18,113170,113170,113150,113150
21/09/18,113140,113160,113140,113160
21/09/18,113150,113160,113140,113140
21/09/18,113150,113150,113150,113150
21/09/18,113170,113180,113170,113180
21/09/18,113190,113190,113180,113180
21/09/18,113190,113250,113170,113230
21/09/18,113230,113240,113220,113220
21/09/18,113220,113250,113220,113220
21/09/18,113230,113240,113220,113220
21/09/18,113220,113230,113220,113230
21/09/18,113240,113250,113230,113230
21/09/18,113240,113240,113230,113230
21/09/18,113230,113250,113230,113250
21/09/18,113250,113280,113240,113260
21/09/18,113270,113310,113260,113310
21/09/18,113310,113330,113300,113310
21/09/18,113310,113460,113310,113410
21/09/18,113420,113470,113380,113390
21/09/18,113390,113400,113370,113380
21/09/18,113390,113410,113350,113360
21/09/18,113370,113370,113330,113350
21/09/18,113330,113340,113320,113330
21/09/18,113330,113350,113310,113320
21/09/18,113320,113360,113320,113360
21/09/18,113350,113370,113350,113370
21/09/18,113370,113370,113350,113350
21/09/18,113360,113360,113350,113350
21/09/18,113350,113370,113340,113360
21/09/18,113350,113360,113340,113340
21/09/18,113350,113360,113340,113340
21/09/18,113340,113370,113330,113360
21/09/18,113360,113360,113300,113320
21/09/18,113320,113340,113310,113330
21/09/18,113330,113340,113320,113340
21/09/18,113340,113360,113330,113350
21/09/18,113360,113370,113350,113360
21/09/18,113370,113380,113370,113380
21/09/18,113370,113380,113360,113360
21/09/18,113350,113350,113320,113330
21/09/18,113320,113340,113300,113330
21/09/18,113340,113340,113310,113310
21/09/18,113300,113310,113300,113300
21/09/18,113290,113320,113290,113320
21/09/18,113300,113340,113300,113340
21/09/18,113340,113340,113320,113320
21/09/18,113320,113350,113320,113330
21/09/18,113320,113320,113300,113310
21/09/18,113300,113330,113280,113300
21/09/18,113310,113310,113250,113260
21/09/18,113270,113290,113240,113260
21/09/18,113260,113270,113250,113270
21/09/18,113270,113340,113270,113310
21/09/18,113310,113320,113230,113250
21/09/18,113240,113260,113240,113260
21/09/18,113270,113270,113240,113240
21/09/18,113240,113270,113240,113270
